location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip,predicted_baseline,predicted_baseline_q10,predicted_baseline_q90,predicted_climate,predicted_climate_q10,predicted_climate_q90,error_baseline,error_climate,abs_error_baseline,abs_error_climate,improvement
toronto,43.646548,-79.46369,106.277,2012,2012-04-13,104,1.37,61.6,88.0,132.5,101.44843,74.72137,132.0807,106.53531,83.00248,129.92078,2.5515670776367188,-2.535308837890625,2.5515670776367188,2.535308837890625,0.01625823974609375
toronto,43.646548,-79.46369,106.277,2013,2013-05-03,123,-2.49,8.7,85.0,178.2,101.03092,74.51117,131.37979,120.39306,98.16014,143.13956,21.969078063964844,2.6069412231445312,21.969078063964844,2.6069412231445312,19.362136840820312
toronto,43.646548,-79.46369,106.277,2014,2014-05-16,136,-6.45,0.0,89.0,142.8,100.365875,74.34798,129.91058,130.31306,97.76175,166.27542,35.634124755859375,5.6869354248046875,35.634124755859375,5.6869354248046875,29.947189331054688
toronto,43.646548,-79.46369,106.277,2015,2015-05-07,127,-6.7,0.0,90.0,95.5,99.855995,74.341736,128.55608,129.30122,95.371475,166.17667,27.144004821777344,-2.3012237548828125,27.144004821777344,2.3012237548828125,24.84278106689453
toronto,43.646548,-79.46369,106.277,2016,2016-05-09,130,-0.62,18.5,84.0,216.5,99.269325,74.139984,127.22841,115.73387,94.36603,136.74284,30.730674743652344,14.266128540039062,30.730674743652344,14.266128540039062,16.46454620361328
toronto,43.646548,-79.46369,106.277,2017,2017-04-28,118,-0.2,28.6,89.0,189.3,98.80202,73.90217,126.37167,112.86919,91.46003,134.45177,19.197982788085938,5.1308135986328125,19.197982788085938,5.1308135986328125,14.067169189453125
toronto,43.646548,-79.46369,106.277,2018,2018-05-09,129,-2.22,13.9,86.0,188.5,98.1926,73.51621,125.15845,119.05448,97.4309,141.04373,30.807403564453125,9.945518493652344,30.807403564453125,9.945518493652344,20.86188507080078
toronto,43.646548,-79.46369,106.277,2019,2019-05-13,133,-3.55,4.5,89.0,202.2,97.68065,73.49808,123.949615,121.99472,98.6864,146.99883,35.31935119628906,11.005279541015625,35.31935119628906,11.005279541015625,24.314071655273438
toronto,43.646548,-79.46369,106.277,2020,2020-05-06,127,-0.04,22.6,90.0,239.6,96.8728,73.242424,122.31395,112.72319,91.31532,133.89343,30.127197265625,14.276809692382812,30.127197265625,14.276809692382812,15.850387573242188
toronto,43.646548,-79.46369,106.277,2021,2021-04-24,114,-1.06,37.9,90.0,126.1,96.261,72.99014,121.05617,113.69945,92.74259,135.32962,17.738998413085938,0.3005523681640625,17.738998413085938,0.3005523681640625,17.438446044921875
toronto,43.646548,-79.46369,106.277,2022,2022-05-08,128,-3.39,19.9,88.0,197.7,95.6581,72.581726,120.05338,120.32445,98.82304,142.68573,32.34190368652344,7.6755523681640625,32.34190368652344,7.6755523681640625,24.666351318359375
toronto,43.646548,-79.46369,106.277,2023,2023-04-24,114,-0.47,5.7,88.0,264.4,94.96358,72.224976,118.755226,117.218216,95.80249,138.04514,19.036422729492188,-3.2182159423828125,19.036422729492188,3.2182159423828125,15.818206787109375
toronto,43.646548,-79.46369,106.277,2024,2024-04-24,115,0.56,30.2,88.0,185.0,94.10976,71.58761,117.28,112.31961,92.41029,131.85428,20.890243530273438,2.680389404296875,20.890243530273438,2.680389404296875,18.209854125976562
toronto,43.646548,-79.46369,106.277,2025,2025-05-06,126,-2.67,22.4,90.0,159.0,93.20185,70.97664,115.731804,118.32901,97.78352,139.47981,32.79814910888672,7.670989990234375,32.79814910888672,7.670989990234375,25.127159118652344
