location,lat,long,alt,year,bloom_date,bloom_doy
toronto,43.646548,-79.46369,106.277,2012,2012-04-13,104
toronto,43.646548,-79.46369,106.277,2013,2013-05-03,123
toronto,43.646548,-79.46369,106.277,2014,2014-05-16,136
toronto,43.646548,-79.46369,106.277,2015,2015-05-07,127
toronto,43.646548,-79.46369,106.277,2016,2016-05-09,130
toronto,43.646548,-79.46369,106.277,2017,2017-04-28,118
toronto,43.646548,-79.46369,106.277,2018,2018-05-09,129
toronto,43.646548,-79.46369,106.277,2019,2019-05-13,133
toronto,43.646548,-79.46369,106.277,2020,2020-05-06,127
toronto,43.646548,-79.46369,106.277,2021,2021-04-24,114
toronto,43.646548,-79.46369,106.277,2022,2022-05-08,128
toronto,43.646548,-79.46369,106.277,2023,2023-04-24,114
toronto,43.646548,-79.46369,106.277,2024,2024-04-24,115
toronto,43.646548,-79.46369,106.277,2025,2025-05-06,126
